,id,type,y_index,y,centroid mean,centroid var,rolloff mean,rolloff var,zero mean,zero var,rms mean,rms var,contrast mean,contrast var,mfcc1 mean,mfcc1 var,mfcc2 mean,mfcc2 var,mfcc3 mean,mfcc3 var,mfcc4 mean,mfcc4 var,mfcc5 mean,mfcc5 var,mfcc6 mean,mfcc6 var,mfcc7 mean,mfcc7 var,mfcc8 mean,mfcc8 var,mfcc9 mean,mfcc9 var,mfcc10 mean,mfcc10 var,mfcc11 mean,mfcc11 var,mfcc12 mean,mfcc12 var,mfcc13 mean,mfcc13 var
11520,00088,classical,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1300.80420769,62381.653586,2342.92934684,287530.539917,0.070412048813,0.000391641029206,-17.386284471,9153.54492001,18.2594375002,17.393839436,-300.094980089,4888.35358819,157.441080651,325.397862038,-37.3775273764,195.17986444,15.7817181557,85.5019506511,-5.75050259513,85.0474542734,-4.45739299232,56.1224995274,-6.81219229517,39.2073301234,-10.7483463509,40.960424075,-9.89639830328,47.7771829196,-8.1593443358,57.3315885403,-5.40005241524,42.1492449261,-7.82290776323,51.6377954492,-2.72485241298,43.095166002
11560,00089,classical,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2423.21647976,119200.854874,4296.56675827,375563.292962,0.166631843508,0.00113073604768,-15.391519648,8210.55324877,18.2094361981,13.9031786426,-301.769610015,2620.11717657,57.572104255,820.296981903,-59.1770861202,254.958653027,33.504702437,84.0614858526,-20.9094565409,73.3134118728,17.7584247335,85.1305819353,-0.650149116014,194.666359448,48.97148176,385.311689019,19.0895825012,237.107480701,27.0951978606,355.057471505,-17.5779952944,590.49972873,-0.226606036827,249.897791564,-3.7703458485,289.511074534
11600,00090,classical,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2172.6187224,133095.871036,4066.82083485,508861.720567,0.151924736555,0.00196547786201,-17.2404313892,9035.68354375,19.717184759,10.2540786113,-326.135254657,1247.95369529,85.9246131085,338.785123865,-43.0258090747,170.042464109,31.8546993178,67.003953819,-19.5878569583,81.1603552112,9.98322546412,52.7458612372,-16.4799213566,56.2582589895,9.99876408846,54.9986197062,-8.61826650188,81.3893202615,25.5052973712,166.255444449,6.52171243761,128.11739148,16.388060222,173.367196169,3.54512847922,193.269048925
11640,00091,classical,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2192.96635083,129259.400476,4066.79579624,391015.708541,0.152433835998,0.00208027604752,-9.99901661983,6149.13066197,17.2740647989,18.9442840756,-251.481926011,3208.09700376,88.6891076457,229.116055257,-41.7343633844,144.557265057,37.8938098974,65.8405658787,-12.0204447524,112.564464757,21.6477506707,79.8894167044,-5.82254263491,128.693446151,25.7597255087,132.192251316,-5.16454151822,213.315459811,14.3227470145,207.960102958,-7.56887971558,243.995144564,10.4362362891,217.443859862,-4.94389506731,235.122762595
11680,00092,classical,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1806.8291737,222023.604522,3071.08546057,641255.838536,0.1308113039,0.00337796405247,-11.0382507286,8562.93812865,15.8477932527,21.0446815512,-299.555366668,5256.58040639,103.713048153,656.589847364,-27.6991420446,293.68260244,51.0114042227,110.023711895,12.2880168645,147.614629769,16.5128523901,69.6301059946,-10.9118041198,95.5941455302,-0.899134734444,127.268764994,3.7925330781,317.01108937,12.9880255405,214.691707646,-12.3350202436,344.844928341,2.43168649663,265.990394408,5.16564159342,232.04482322
11720,00093,classical,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1624.03050254,47730.3675526,2732.53009175,294962.892881,0.108185713421,0.000864296395592,-9.91422129021,4760.2195634,18.1232855254,25.8350367804,-207.261677133,1671.33414532,117.595089871,212.795548381,-41.3847414799,547.057338438,13.2484350949,155.77077772,-1.68524117024,69.7725885032,15.5320113412,106.621848441,-10.3808996527,160.169211923,-1.85752163432,141.729241889,-12.7315662367,96.1767795207,7.0303931863,128.17810888,-0.780806614357,210.142426346,2.06937278198,160.395022398,-8.27772512629,186.049864582
11760,00094,classical,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1424.98352264,106150.882039,2929.34189907,488626.861182,0.070212951187,0.00123382120735,-16.230605006,13549.2369925,17.6130428035,17.1839656982,-385.6164158,9374.26594848,128.586369024,406.864711418,-26.7653252542,453.858828341,39.4990577829,116.626007456,-2.21402297309,172.775866418,16.7694754585,60.7767351271,-5.74701856433,127.465603543,14.7372478825,71.9588490273,-3.09817212408,124.432140714,12.3178058931,81.9135845416,-5.90266051759,100.805191885,2.77927749826,92.8188476402,3.65651661638,115.51414534
11800,00095,classical,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1800.20262889,285690.23815,3425.0729583,864445.834738,0.124213829336,0.00385172327711,-20.0473636218,14875.3318728,17.9725650466,12.3602279786,-422.69135486,6861.56678419,89.8462541783,1016.03838507,-18.6876819485,438.348543273,37.8120532504,108.874902069,6.0211984381,139.339152349,4.1633010871,79.5894276286,-1.96498401843,106.673610317,12.1101293559,124.159347586,4.16540651618,129.815985304,13.7768357092,149.211075143,2.81153224321,84.7233808815,5.87952737563,106.186372481,6.14205558966,248.679417537
11840,00096,classical,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1931.07834713,189746.008183,3570.03815407,448216.701291,0.117202261991,0.00233525043697,-7.85323571889,4920.80921719,17.5892826538,19.5180795525,-203.478672536,3765.32457818,111.325698215,939.479401425,-51.508318472,173.811432274,39.5004885499,64.7137598763,-10.5208362941,130.1311329,11.8884036307,64.2865288969,-13.1785504638,97.2275804438,15.0633733061,106.803034315,-7.31237434597,71.9979012917,13.3978236208,115.417648096,-7.3062693118,67.4681107182,3.80885554847,109.550940507,-3.7716857921,87.9954863386
11880,00097,classical,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1493.86719391,92359.6268342,2780.15352471,338700.988646,0.0858720173207,0.000918648926643,-11.7245310304,7370.38622974,13.502954485,14.0800625976,-280.723304883,1135.152595,122.747811454,229.90021465,-14.389439344,169.317935701,26.839757743,37.4388058256,1.3714729833,62.6766681706,5.98762512277,50.3956987464,-13.092051959,67.3699254162,3.36362131651,108.376410049,-11.5379508404,80.4122268201,5.2214133889,71.9781241428,-1.04497907471,146.244446514,2.77245599673,130.240407586,0.0646647020195,122.911500846
11920,00098,classical,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1954.20784603,165440.109064,3782.599246,445451.221904,0.123624863735,0.00220338308684,-14.4243007078,7765.38012611,15.6850442526,18.3304924623,-287.322212594,4966.02163053,101.685285517,303.786670872,-35.4053164389,212.358514759,41.2863051335,56.1248041256,-12.7789639969,127.679022405,17.3017715889,53.516455548,-13.9939385589,100.45637083,16.3179495585,62.4006708582,-5.6198645111,75.1502583547,13.6763861636,83.8872649258,-8.81122107348,150.415475992,-0.0640809739286,71.3825947102,-13.788009016,128.364856403
11960,00099,classical,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1523.96155135,46378.0471923,3322.48143396,344479.741629,0.0806451368702,0.000407922076073,-14.6040188989,12503.9679706,17.0226673271,12.875840102,-378.867140356,478.190509933,126.528858473,155.998040247,-18.8074036149,35.5390911728,42.8699249109,34.117002759,-14.2592879079,57.1361944781,25.3416517676,37.6771412219,-14.659069127,31.1579639284,18.6728013892,39.5396523894,-10.2029485399,77.5438656754,21.1097693138,63.3917410061,4.46108665411,36.7888263996,18.2206128757,66.2507884163,-10.2611015256,53.4544466991
12000,00000,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1994.5986938,252487.917223,4224.62249046,1268224.39417,0.0900489038275,0.00163260915963,0.509172654867,2865.84510243,18.7435080939,20.9976466308,-116.536283684,5849.23781377,109.326696801,483.572689204,-23.1459698111,369.285348568,40.6855563071,161.390381813,-11.8880065222,196.995207612,23.1495435532,127.527003606,-15.3834625282,130.396638268,15.1364765457,63.62342344,-13.511997762,111.977711909,12.6969525467,59.6102211797,-10.8721257167,77.0226758799,8.52466643795,54.3683217643,-11.5628016551,38.9187416519
12040,00001,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1529.01326258,227586.64646,3270.82678507,1366352.006,0.0550046935562,0.000851495067243,5.01921914047,3007.04561974,26.1043097061,30.0970276494,-110.963626177,3142.16958141,134.222332668,746.455368375,-24.6375662537,319.142741188,41.5921730884,202.696890873,-3.03320459451,131.19985872,28.512072447,72.8057492361,-10.5538057558,146.688919826,14.9349992159,53.4759576466,-14.3737519301,119.168429529,8.84146018877,49.8452373983,-4.56283617293,71.1366629185,9.93450158399,62.1248127141,-4.66289948285,54.0984697271
12080,00002,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1874.08167549,469762.957593,3930.41884311,2044904.26325,0.0765038305475,0.00223285001858,3.04588169216,3309.21328644,20.075565973,23.5642665188,-120.56073415,8105.82527426,117.61126131,856.924408319,-27.5307026317,546.122956216,42.8132731941,194.334535754,-6.71343342523,296.541872828,21.6863590333,155.858505277,-12.0919326594,114.089384653,17.9121346936,59.6612684638,-10.3867496841,116.066582377,12.2691647668,61.2398231189,-6.55045824634,92.9769420568,13.5312900416,44.8834387726,-2.39301024462,65.0629696839
12120,00003,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1421.55701601,429146.82145,3042.04067496,2539677.35905,0.043062621124,0.000941718331137,5.20575972826,4006.57695418,20.7393836569,18.796444447,-156.726570516,5364.17410595,130.634322012,733.989868946,-1.44496901075,407.624049515,36.2297623826,152.092298036,0.451127522256,244.779546922,32.0185142334,94.1654055843,-0.597763868639,142.869882458,20.0782201566,72.4650602244,-11.3138341783,105.921905223,13.8012518716,48.9158762177,-3.75406869205,83.8232766821,11.5376107188,70.1774541794,-3.23872616408,68.5159568065
12160,00004,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1346.16372752,477337.635772,2939.9916538,2557149.55203,0.0411322068798,0.00132841924586,7.33989102148,3401.36330088,24.8589342013,26.8059895637,-127.915584748,3189.56873907,134.431460716,831.481381994,1.08456231459,449.986299505,54.4280377595,154.902823546,-0.473026870997,161.29533894,35.8480568858,102.298664205,-10.8775550858,133.185539518,16.3715145036,43.6532870308,-10.0445189649,112.994030771,6.62052393244,87.4596013611,-6.70955747481,66.3888216599,11.0496288072,67.4295838829,-8.39495849478,65.6726677753
12200,00005,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1542.22268373,113022.595627,2870.84336392,640408.584927,0.0769538820252,0.00031963784508,4.51065136635,2800.22012084,26.6480557369,26.7686253937,-62.39416511,1575.12157497,153.762657229,977.230788874,-55.0899256321,223.319024745,28.0361740333,143.072581219,-6.86293049526,157.209212872,17.4967173945,99.4895287674,-22.5996226332,190.452262682,18.1358380371,78.6522833416,-12.59409805,133.177122815,4.48214046206,75.8202948069,-8.37848897141,62.1089009767,7.18369831271,47.26175464,-2.5395268141,47.6891832418
12240,00006,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1674.19741643,209023.415673,3250.3952807,725244.029769,0.0872516957364,0.00132845302075,0.187185543866,3003.51771003,20.7256183118,24.5146801891,-98.3482811026,2698.11149161,136.690058753,666.344889431,-46.7158659091,341.084459792,46.4578780585,256.873533776,-17.1594592109,214.769496128,10.4407765213,144.29180933,-14.5502830399,118.295501963,16.5451153362,113.523366179,-12.3575635721,98.0257353836,3.65985838311,85.3246746947,-12.6625419781,87.928755837,2.95050396038,79.0148789531,-12.5167841296,64.6063161915
12280,00007,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1282.13416219,300450.805622,2675.65906613,1627599.3623,0.0471774315649,0.00104241114541,3.71316149607,3800.98816299,25.8135471173,23.5258279407,-140.382909323,2940.62310084,149.327135563,557.82655492,-10.0248877227,273.54348323,38.7052376939,135.454782991,1.52968446729,163.019818313,20.1393407014,71.3110311722,-11.3132705375,90.9686898156,16.2792187456,67.5899775176,-13.2488299745,146.954856699,10.1909407534,93.1003156834,-9.25179367439,86.8892566189,4.69415477971,51.0090269819,-8.37292202341,51.1857685524
12320,00008,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1717.48111252,47225.3572933,3363.28601926,434299.42266,0.0849719143653,0.000310798088351,8.25613567842,1911.70423538,28.3661633399,31.3706414972,-14.9200428952,587.595290666,138.409795513,194.221652546,-41.8983617926,71.7762015213,22.0797952137,97.8289037299,-18.6651274789,57.5402366141,31.9882136097,36.9707018833,-20.3661400843,40.9413019605,15.6843373757,43.9436464766,-17.3702121651,50.250922793,14.8496675882,19.2536289231,-8.89856596038,25.680682798,12.2394180773,36.9722110123,-5.80301318231,35.1289340892
12360,00009,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1182.04597682,275748.13618,2368.96949945,2086910.69138,0.0425440588663,0.000390185888595,1.64938635582,4917.43710652,28.3303162722,29.5955681064,-178.512550708,4767.27933363,153.97556444,887.794989446,-4.91185912279,456.761278278,21.9100127751,201.477552509,-2.0829147001,136.281753339,23.6755664502,76.4416375969,-1.31106609367,128.398598269,11.5486860765,71.5769785376,-6.07997047268,109.544370242,4.95921067819,68.6265148319,-2.99710472526,61.446157037,5.38932295347,37.1451545634,-4.12087492545,63.363136546
12400,00010,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1857.72762544,380813.767883,4191.43798828,1652823.19267,0.0716494064922,0.00179533467529,3.82061418046,2588.08945386,20.2810303724,27.8832502575,-109.045836401,2677.71005776,114.949755015,460.607673462,-5.16484219863,334.989648774,46.2257923829,169.742763784,-9.11564708412,125.420312844,20.5058901031,140.322027378,-17.0290982067,107.69208043,24.1875893876,85.2928464711,-8.06692550657,77.7664248799,13.4331759591,63.9930526026,-18.3781505824,53.3776036385,8.57957834447,56.3799137542,-11.4132968664,47.9199598472
12440,00011,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1536.59473223,492746.488723,3414.30635674,2382675.38092,0.0543063378149,0.00161310922554,2.98599428474,4040.277008,20.6680427247,24.481384514,-169.700203135,2903.76832899,119.127806353,618.085778224,7.19634061628,399.533672489,53.3628683943,215.425328708,4.1582731732,139.406599965,23.1812140441,125.618313868,-5.68384812613,91.6562196073,24.9674433251,71.9461791779,-9.32879951699,69.2617108467,13.4630855894,60.4197242262,-14.2601233329,54.9193414906,5.91248390045,51.8874530399,-13.578615583,47.2984912458
12480,00012,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1861.86113439,813131.420082,3983.85123319,2735406.84758,0.0681106922238,0.00319996848372,-2.45177237818,5017.8881386,19.3948177559,29.0412488277,-204.765114444,5793.98984079,107.052605245,879.303104876,-10.1620548089,353.789001017,45.4939768535,235.77232989,3.03324122309,233.110456815,24.0328337387,165.34006521,-7.50390436271,179.340612685,20.0457207137,135.241186385,-5.17844702543,156.618125831,8.75954950395,84.0476614698,-10.0852238291,79.2831081545,4.36592087467,74.85108871,-6.96214459904,60.3153574645
12520,00013,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1594.04405413,702010.200623,3816.96890898,4545429.08141,0.0460570342781,0.00148363573721,3.85506090635,5355.97991944,19.6995536657,19.9974701402,-211.28370435,4682.59560199,95.7673621194,857.392631832,40.6558869547,756.072727538,68.3909212493,272.860491847,5.34278027918,163.317557156,30.9498037276,145.901850657,-5.25718183304,117.063663102,22.8296410627,118.954292719,-1.58060371325,148.715068413,17.4702837745,79.6625228512,-11.4759871823,60.302304505,8.73539993118,61.2598732965,-10.4288102376,54.6883483406
12560,00014,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1935.43556291,919001.709034,3981.88152934,2686230.8289,0.083646363251,0.00559505766168,-7.46976424748,7361.89940401,17.4627801557,29.0992695053,-256.659218308,12479.5479942,103.182377853,1343.4451695,-8.46155119845,653.361620764,48.5526382227,361.064279836,-4.1578485646,431.186695536,17.310454287,210.090855101,-6.65775980551,282.312980612,17.0319477988,189.400488529,-4.58576772637,191.249791986,5.32141950464,110.465922038,-10.009516445,133.047287657,8.22716368429,99.218194615,-6.20127451969,89.1211532836
12600,00015,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2336.41563106,1048955.62772,4502.40915698,2912160.34937,0.114135174419,0.00651545757901,-6.35989491668,3764.77985085,16.5212978252,23.3888377358,-174.965208414,3603.35239857,90.8586174462,1644.51674078,-18.6528693901,630.389380153,41.6400203952,259.263705717,-8.86707166283,308.652324872,9.11700166626,174.325795885,-12.4693135883,203.863823114,13.1133095143,169.830272259,-9.69018798506,135.119496535,4.35602098011,110.450531336,-13.4869537714,121.779699401,6.75327337593,111.223241271,-10.3852724833,107.844203342
12640,00016,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2459.15919062,129572.392886,5023.97171375,643667.473168,0.142754133358,0.00116397824097,6.8038444153,1374.39250631,19.5117197389,7.5144133284,-15.5671097087,338.418094364,99.9268154248,184.852784516,-37.3846574383,171.39675271,45.8144807322,126.721333895,-20.5896890079,87.3248956846,25.4471140631,53.6209106525,-18.4876356508,50.3096526746,26.3435981444,34.7399604499,-19.9888457424,50.8568723442,20.9721426935,44.6233850599,-13.4758264708,35.542763272,10.8302662378,45.5179353738,-15.3906758783,38.2755878
12680,00017,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2311.78734061,159085.684533,4527.09722475,814644.874661,0.140500847868,0.00115149716103,4.85704670063,1714.35658019,19.9310363807,11.8454664651,-41.5084558053,1030.31823336,105.418838012,246.477133499,-43.9837677142,210.231314187,54.0926904285,118.115310528,-18.4316853264,84.5340564413,23.5185375964,62.1978648127,-17.6121617921,62.3305042676,20.6527253767,43.5121991475,-18.4599394217,54.8265327917,17.4807547614,38.1002587482,-15.1768581523,38.3852623361,11.2949692087,33.3728754524,-14.144040063,40.3561245269
12720,00018,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2210.07698886,279967.016829,4595.36916334,1264727.41419,0.115783975291,0.00251429277905,5.35599964576,1910.46569798,19.1457936784,9.82499498666,-67.3734954608,1390.06584053,109.089225728,456.667139475,-32.721622209,349.907916728,45.6569413115,173.286070081,-11.6949681769,92.1014803329,27.4770359031,119.192579208,-16.3384950238,87.0395190075,22.09262034,48.3939115442,-15.4529643163,61.0714966936,19.4205685581,52.3978934003,-11.6107279455,62.336905952,11.601929742,35.3119913879,-10.5180530551,43.5150553532
12760,00019,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2321.27198821,163812.784666,4702.80148528,779872.216373,0.128188968629,0.0018860660338,-0.653212682128,2134.51096624,20.8562940089,16.0510384754,-84.2335886276,2009.33068347,102.331020014,286.093528746,-41.3218650166,251.236212134,47.0172508408,198.449387815,-16.9542493343,63.7399656439,26.2252325017,75.6906759346,-18.9584875262,69.8992489704,18.7921672211,72.9146198151,-21.6700074032,70.6931331605,11.0378471621,80.6652260441,-19.2283247355,50.5253380441,5.23310523356,55.3005229651,-16.7618651976,27.3209649465
12800,00020,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2188.8110954,320317.277026,4434.12887218,1392957.40092,0.117631116764,0.00257746179089,2.51363682281,1943.52920377,17.671632382,9.93810189251,-56.8869605175,2024.11953597,115.179416597,503.02665123,-30.4201515195,312.008826526,37.1979704147,116.396359834,-21.9881192571,142.671849846,21.8587958044,106.903946074,-19.7593008745,65.8005367912,15.0003198661,52.2512555209,-24.0349655557,73.7821994568,17.7675138078,64.7002695222,-17.2413384862,53.3724366465,6.74097158411,43.0043605041,-10.7368731669,50.4084042696
12840,00021,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2158.48456614,249559.154926,4245.5881518,923332.202746,0.121643728803,0.00288448156384,2.23121936157,1873.52929945,16.5727964523,9.31298449532,-55.2153905766,1245.15575244,114.404998554,420.414226202,-34.0650941032,272.648291632,37.9790571995,158.536521288,-22.3311251228,185.39322296,18.52096473,113.807566816,-18.1612387817,109.488588063,13.8222679292,59.2278667332,-27.8096577237,99.2734801979,18.1745775528,69.300247243,-14.6132232234,49.1056796231,6.56243533224,57.5072240047,-8.2627200656,49.4904770555
12880,00022,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2341.99145793,257369.23246,4592.8319177,1022235.16578,0.138497759205,0.00222408271926,0.947882487937,1666.37043338,16.1540955671,10.1990338755,-34.5599137835,1178.33622987,106.522613454,488.412662024,-41.0844496619,389.029404305,33.6487215505,123.864394104,-27.2303231368,97.6429484422,21.3858901559,90.0158670286,-21.2994384632,109.478102447,14.0126516906,44.3393285395,-27.7396941621,109.799922561,16.0925324231,78.174150436,-18.8127151582,45.2438865041,5.66462594488,45.6377487567,-14.2780285097,45.702109943
12920,00023,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2297.19886139,392838.543593,4852.93298056,1669677.70127,0.115698809956,0.00236707545496,-0.089498089551,2234.17552882,19.3920621141,12.2024409853,-88.1263413482,3041.685545,105.305773593,583.562891751,-24.5003921774,164.739641922,41.8320365643,114.939900255,-22.4010004975,118.787809494,23.7386933349,123.052430982,-19.8236247475,78.0714277997,15.1559091702,132.468597685,-27.1334043277,101.901963164,13.8668960937,129.170215111,-15.2221572382,61.8958239231,8.94276956453,44.6374472929,-12.7986331484,51.7131055784
12960,00024,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2320.83940206,118734.933472,4468.21476426,482786.622688,0.14339003452,0.00201778417668,0.66440887662,1740.59137818,18.7592437195,14.3577460079,-52.4550423311,1095.49129269,99.6851231029,378.41217205,-47.3734422758,433.36599421,47.0330493065,186.662317441,-21.0108940598,147.234809965,22.89877732,114.089841921,-18.2965345391,46.8753859457,13.9027815323,54.3452896084,-23.4181974427,65.0434241132,13.5081394705,63.6046054725,-18.6580127278,46.2392843333,5.70609377771,44.1059286213,-12.8845257374,41.5143504701
13000,00025,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2511.3283517,144099.149096,4736.60360647,704664.637518,0.15794952156,0.00192286691287,2.61038151066,1624.8275168,20.07492543,14.9233024076,-47.0320641615,574.151346809,95.7019864731,260.2828948,-43.9089089159,252.776273992,52.0658200241,270.126634682,-22.5372758861,124.924478085,20.8210110644,85.9238310787,-18.684307713,73.8737910957,19.2302750491,49.0599207537,-21.2604759456,50.2282793016,21.8773852569,85.2445584824,-19.2196727026,36.0931635498,9.44333195924,47.4915952709,-12.5621448635,84.0791872444
13040,00026,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2264.19801629,231265.68593,4604.95060411,935058.807363,0.12297836422,0.00215813089782,5.08179339585,1772.80923142,19.334243479,9.35762190534,-58.9185983698,953.707805715,106.522323679,382.214770145,-31.7658251357,183.171790597,47.9206371091,124.96718564,-17.4120450887,123.716506326,27.7356140961,87.7123047894,-14.0815395011,98.2204223927,22.4015117116,45.9743353486,-20.5697489227,53.5893795271,19.5658660608,65.5610120926,-14.5880049038,41.7465631295,10.1817982609,35.0269060259,-10.9286748496,48.3557494365
13080,00027,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2671.04598175,458398.007611,5449.21074446,1363255.84824,0.133584287185,0.00454755275111,0.117503142179,2079.39375689,17.5862009978,14.2567017908,-123.141198676,2619.14369491,74.8286387249,636.797110615,-17.0552929249,273.95202141,31.619446508,200.868986093,2.52623204423,108.008101663,17.3293848661,89.4005729733,-3.84055724085,101.632817132,9.72115772145,61.4736101884,-7.25807346155,65.8007753949,11.2646050387,47.0730849844,0.396252436848,44.079545617,3.46978563749,49.1212771529,1.66716017412,70.7073092002
13120,00028,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2047.46466824,354347.708643,4096.84212618,1614878.56963,0.101970915092,0.00135768670215,5.11274287524,2117.45383822,19.7011561248,14.6430333984,-92.6005994666,2628.93314689,101.78469447,755.257129664,-33.4404035917,378.048728526,48.6696935336,209.316556315,12.4073214857,117.103876122,20.8066068249,66.711337212,8.71446859045,60.6247152055,9.27856642133,56.740276383,2.76067397459,64.090111632,5.25898238398,74.3453537749,-9.35168391863,50.0630122846,-3.48003282748,44.6661621011,-4.34263050179,36.2350475942
13160,00029,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2444.72995192,372608.163138,5173.73597611,1219827.31079,0.11138641594,0.00227415277339,7.01646412825,1029.16655985,20.3608439056,14.4482088502,-42.4359402934,1374.50262238,85.0495370573,534.486341375,-7.34850699274,308.045529627,40.6888936308,121.44600321,-1.02687103434,75.5785319674,18.9620556099,83.2656293057,-3.51642078503,55.9017729229,5.87783962415,40.6795384231,-4.99955578357,42.0967506825,4.23997813622,47.0575252549,-3.18503156429,43.7349105338,-0.564431387126,44.5732528145,-0.527512550577,42.7349808096
13200,00030,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2946.25601358,726357.196432,6335.39386128,1187262.08225,0.114910368217,0.00368025099355,0.622688546793,2317.29813366,23.2064483303,10.0891970474,-131.513444186,2444.96584607,67.661181532,838.634708606,32.8880667556,809.881232336,34.6416148759,345.309347558,-3.17192920743,123.740833838,21.9399654026,188.777547522,-5.79389733385,107.564602811,10.2471964243,68.3024728271,-7.09716729753,69.6790782183,2.27818549712,79.3303227005,-4.37553490147,51.0201106869,-3.33780649904,46.282513207,-6.27147995339,45.7647211417
13240,00031,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2638.93727092,608154.881992,5301.49130178,2604654.40117,0.13248887173,0.00315279153224,-2.08603608029,1750.7762765,18.2669478491,17.8533318641,-89.207039492,4754.16179763,81.3691748239,893.927688889,-12.5963223073,625.124736545,22.8214946877,192.572360826,-7.03772090522,151.837567862,-0.478105180995,154.434331571,2.81314309171,150.411858803,-3.40208702102,80.5080074397,-7.70601408453,76.8603141419,-0.846519583767,86.2989613618,-4.89040082501,63.573909341,-2.67742358376,77.1710141054,-5.28064866336,63.1375025907
13280,00032,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2345.37947866,277920.685689,4735.23482922,1190000.85176,0.11539902798,0.00167497707226,8.57992888336,880.215370903,19.1705719157,18.03628722,-26.4497711393,1051.64708149,85.8022993871,494.742360313,-16.9581536921,232.026206195,35.2590637015,128.246265476,10.0185404341,154.749578276,10.6859070453,73.3109111153,1.45398063079,64.1167279337,4.72509786235,59.9844626653,-0.0223361461949,51.4465099267,2.08520929499,47.1720325755,0.443367578757,82.8723792886,5.44600197025,43.7330380524,-0.950131444019,49.2368505697
13320,00033,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1672.53790895,240180.090277,3427.1762014,1546130.66446,0.0748678991037,0.000708195401831,0.697656870999,2827.78098435,20.7681814609,13.2578240889,-119.276532376,2532.9331356,129.001854922,869.703247265,-17.8974332107,365.137240742,29.1868382098,96.5737700162,2.7277060396,118.354171588,7.99639013549,89.203924042,-7.04797200213,102.782293891,3.91225692215,70.7334365935,-1.4941102773,60.0033399126,-3.96670096295,59.8032672557,-7.05321306448,51.2128107801,-2.85331428364,37.8049200941,-4.16623072873,43.0991995865
